timestamp,phase,inbound_pps,cpu_system_pct,tcp_total,tcp_syn_recv,response_time_sec,ddos_threat_score
2026-04-29 20:14:31+00,baseline,,,,,,
2026-04-29 20:14:32+00,baseline,,,10,,,
2026-04-29 20:14:33+00,baseline,230,,,,,
2026-04-29 20:14:34+00,baseline,,,,,,
2026-04-29 20:14:35+00,baseline,,3.139785,,0,,0.4034451
2026-04-29 20:14:36+00,baseline,,,,,,
2026-04-29 20:14:37+00,baseline,,,9,,,
2026-04-29 20:14:38+00,baseline,353,,,,,
2026-04-29 20:14:39+00,baseline,,,,,,
2026-04-29 20:14:40+00,baseline,,,,0,,
2026-04-29 20:14:41+00,baseline,,,,,,
2026-04-29 20:14:42+00,baseline,,,8,,,
2026-04-29 20:14:43+00,baseline,206,,,,,
2026-04-29 20:14:44+00,baseline,,,,,,
2026-04-29 20:14:45+00,baseline,,3.194748,,0,,0.4002193
2026-04-29 20:14:46+00,baseline,,,,,,
2026-04-29 20:14:47+00,baseline,,,7,,,
2026-04-29 20:14:48+00,baseline,287,,,,,
2026-04-29 20:14:49+00,baseline,,,,,,
2026-04-29 20:14:50+00,baseline,,,,0,,
2026-04-29 20:14:51+00,baseline,,,,,,
2026-04-29 20:14:52+00,baseline,,,8,,,
2026-04-29 20:14:53+00,baseline,232,,,,,
2026-04-29 20:14:54+00,baseline,,,,,,
2026-04-29 20:14:55+00,baseline,,3.092334,,0,,0.4184193
2026-04-29 20:14:56+00,baseline,,,,,,
2026-04-29 20:14:57+00,baseline,,,8,,,
2026-04-29 20:14:58+00,baseline,263,,,,,
2026-04-29 20:14:59+00,baseline,,,,,,
2026-04-29 20:15:00+00,baseline,,,,0,,
2026-04-29 20:15:01+00,baseline,,,,,,
2026-04-29 20:15:02+00,baseline,,,8,,,
2026-04-29 20:15:03+00,baseline,250,,,,,
2026-04-29 20:15:04+00,baseline,,,,,,
2026-04-29 20:15:05+00,baseline,,2.967295,,0,,0.4310193
2026-04-29 20:15:06+00,baseline,,,,,,
2026-04-29 20:15:07+00,baseline,,,8,,,
2026-04-29 20:15:08+00,baseline,253,,,,,
2026-04-29 20:15:09+00,baseline,,,,,,
2026-04-29 20:15:10+00,baseline,,,,0,,
2026-04-29 20:15:11+00,baseline,,,,,,
2026-04-29 20:15:12+00,baseline,,,9,,,
